Contract,Party Names,Effective Date,Expiration Date,Renewal,Payment Terms,Termination,Governing Law,Penalties
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,"I-ESCROW, INC. and 2THEMART.COM, INC.","June 21, 1999","The term of this Agreement shall continue for one (1) year following the Launch Date, unless earlier terminated as provided herein.",A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.,"After the Launch Date, i-Escrow shall pay 2TheMart advertising fees based on the number of Transaction Inquiries. This advertising fees shall consist of a per Transaction Inquiry amount calculated by multiplying 0.025% by the amount of the average Transaction from all Customers in the preceding quarter.","A party may immediately terminate this Agreement by providing written notice: (a) if the other party materially breaches this Agreement and fails to cure that breach within sixty (60) days after receiving written notice of the breach, or (b) as provided in Sections 2.2, 2.4, or 12.4.",laws of the State of California,Not found in contract
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,"Collectible Concepts Group, Inc. (""CCGI"") and Pivotal Self Service Tech, Inc. (""PVSS"")","March 1, 2003","The Joint Venture shall commence on the 1st of March, 2003, and shall be effective until February 28, 2004 unless extended by written agreement of the Joint Venturers not less than thirty (30) days prior to scheduled termination.","The Joint Venture shall commence on the 1st of March, 2003, and shall be effective until February 28, 2004 unless extended by written agreement of the Joint Venturers not less than thirty (30) days prior to scheduled termination.",Not found in contract,Not found in contract,Commonwealth of Pennsylvania,Not found in contract
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,"WPT Enterprises, Inc., Zynga Inc., and Zynga Game Ireland Limited","February 1, 2018",This Agreement will be in effect for three (3) years from the Effective Date (“Initial Term”) unless terminated earlier in accordance with this Agreement.,"This Agreement shall automatically extend for an additional two (2) years on the same terms herein (“Renewal Term”) provided WPT receives payments greater than twelve million U.S. dollars ($12,000,000) within the Initial Term.","Annual Minimum Guarantee of $3,000,000 per year paid in $1.5M installments according to a specified schedule, and a Royalty of 10% of cumulative Net Revenue, payable quarterly within 30 days of the end of each calendar quarter.","Either party may terminate if the other party breaches a material obligation (subject to a 30-day cure period), becomes insolvent or bankrupt, or asserts rights to the terminating party's intellectual property in violation of the agreement.",State of California,"Notwithstanding any termination of this Agreement, any Approved Content that includes Zynga’s Licensed Property may remain in perpetuity in any media in which such Licensed Property was integrated into during the Term (e.g., televised WPT Tournaments or WPT Invitational Tournaments, social media posts, repurposed integrations for “best of” television programs) or for historical purposes (e.g., reference on WPT’s website that Zynga-sponsored tour events took place as part of the tour)."
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF,"Allison Transmission Holdings, Inc., Gregory P. Spivy, and the ValueAct Group (comprising VA Partners I, LLC, ValueAct Capital Master Fund, L.P., ValueAct Capital Management, L.P., ValueAct Capital Management, LLC, ValueAct Holdings, L.P., and ValueAct Holdings GP, LLC)","December 12, 2014",This Agreement is effective as of the date hereof and shall remain in full force and effect for the period (the “Covered Period”) commencing on the date hereof and ending on the date that is the earliest of:,Not found in contract,"All attorneys' fees, costs and expenses incurred in connection with this Agreement and all matters related hereto will be paid by the party incurring such fees, costs or expenses.","The Company's obligations terminate immediately, and the ValueAct Designee must offer to resign, if a member of the ValueAct Group or the ValueAct Designee breaches any terms of the Agreement or the Confidentiality Agreement. Additionally, the Company may require the resignation of the ValueAct Designee commencing 10 days following a material breach of obligations by the ValueAct Designee and/or the ValueAct Group, provided the breach has not been cured within that 10-day period.",The laws of the State of Delaware,Not found in contract
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.PDF","Athens Bancshares Corporation (the Company), Athens Federal Community Bank (the Bank), and Keefe, Bruyette & Woods, Inc. (the Agent)",Not found in contract,"The obligations of the Agent pursuant to this Agreement shall terminate upon termination of the Offering, but in no event later than 45 days after the completion of the Subscription Offering (the “End Date”).","In the event the Offering is extended beyond the End Date, the Company and the Agent may agree to renew this Agreement under mutually acceptable terms.","The Agent receives a management fee of $30,000 payable in four consecutive monthly installments of $7,500 each, commencing with the execution of the Engagement Letter. Upon completion of the Offering, the Agent receives a success fee of 1.125% of the aggregate purchase price of the Common Shares sold in the Subscription and Community Offering (excluding certain shares), with a minimum success fee of $200,000 (against which the management fee is applied). For a Syndicated Community Offering, the Agent is paid a fee not to exceed 5.5% of the aggregate Purchase Price of the Shares sold. The Company and Bank will also reimburse reasonable out-of-pocket expenses and legal fees up to $50,000. Full payment of actual and accountable expenses, advisory fees, and compensation is due in next day funds on the earlier of the Closing Date or a determination to terminate/abandon the Offering.","The Company or the Bank may terminate the Agreement if the Agent is in material breach of its representations, warranties, or covenants in Section 5, and such breach has not been cured after notice of the breach has been provided.",State of New York,Not found in contract
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,"United Cities Gas Company (a division of Atmos Energy Corporation), Arkansas Western Pipeline Company, and Associated Natural Gas Company (a division of Arkansas Western Gas Company)",effective as of the date of physical completion of and initial deliveries on Transporter's pipeline,"Subject to the General Terms and Conditions of Transporter's FERC Gas Tariff and Rate Schedule FTS/ITS, this Agreement shall be effective as of the date of physical completion of and initial deliveries on Transporter's pipeline and shall continue for a primary term of ten years.","Thereafter, this Agreement shall be effective month to month, until terminated by Transporter or Shipper upon the following written notice to the other specifying a termination date: sixty (60) days for interruptible transportation under Rate Schedule ITS and 180 days for firm transportation under Rate Schedule FTS.",Not found in contract,Not found in contract,laws of the State of Arkansas,"The Point(s) of Delivery at which Transporter shall redeliver to Shipper or for the account of Shipper an Equivalent Quantity of gas for transportation under this Agreement shall be specified in Exhibit B to this Agreement. Notwithstanding the MDDO at each Point of Delivery, Shipper shall not nominate a total quantity of natural gas at all Points of Delivery that exceeds the MDQ set forth in this Agreement."
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF","The Babcock & Wilcox Company (“RemainCo”) and Babcock & Wilcox Enterprises, Inc. (“SpinCo”)","June 26, 2015","However, the Parties agree that the RemainCo Group may continue, beyond such 270-day period, to distribute copies of any existing inventory of its marketing literature, including technical papers, brochures, and printed promotional material, in existence on the Distribution Date, provided, however, that reasonable efforts are made to remove or cover up any SpinCo House Marks appearing thereon prior to distribution.",Not found in contract,Reimbursement of shared costs and expenses related to the Shared Location within thirty (30) days of receipt of statement.,Not found in contract,State of Delaware,"SpinCo may, and may permit an applicable member of the RemainCo Group to, discontinue maintenance, abandon or dedicate to the public any Licensed RemainCo Intellectual Property."
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,Virtual Item Processing Systems Inc. (VIP) and Brokers National Life Assurance (BNL),"May 1, 2006","The initial term (""Initial Term"") of this Agreement shall be for one year commencing on the 1st day of May, 2006 (""Effective Date"").","Unless either party gives written notice to terminate this Agreement at least six (6) months prior to the end of said Initial Term, this Agreement shall continue on a year to year basis (""Extended Term(s)"") until terminated by either party by giving written notice of termination thereof to the other party at least six (6) months prior to the end of the then current Extended Term.","BNL will pay VIP charges set forth in Schedule B, with a minimum monthly fee of $5,000. Payments are due within ten (10) days after the date of the postmark of an invoice. Late payments are subject to late charges of 1-1/2% per month or the maximum amount allowable by law, whichever is less. All sums are payable in U.S. dollars.","This Agreement may be terminated by the non-breaching party if: (A) BNL fails to pay sums due and does not cure within thirty (30) days after receipt of written notice; (B) a party breaches any material terms, covenants, or conditions and fails to cure within thirty (30) days after receipt of written notice; or (C) a party becomes insolvent, bankrupt, enters liquidation, or makes an assignment for the benefit of creditors.",Laws of the State of Oklahoma,Not found in contract
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF,"bw-3 FRANCHISE SYSTEMS, INC. and an unspecified franchisee (""you"")",Not found in contract,"The term of this Agreement is for ten (10) years commencing on the date of this Agreement, unless terminated as provided by this Agreement.",We shall give you written notice of our election not to renew the franchise at least three (3) months prior to the expiration of the initial or first renewal term of this Agreement.,"Initial Franchise Fee: Unspecified amount (blank in contract) payable on the date of the Agreement. Continuing Fee: Monthly fee equal to 5% of Gross Sales. Advertising and Development Fund Contribution: 3% of Gross Sales. Local Advertising: Up to 2% of Gross Sales. Grand Opening Advertising: Up to $5,000. Late payments bear interest up to 1.5% per month. Transfer Fee: One-half of the then-current Initial Franchise Fee. Temporary Operation Service Fee: Not less than $200 per day plus expenses if the Franchisor temporarily operates the restaurant due to Franchisee's default or absence.",The Franchisor may terminate the Agreement immediately for cause upon written notice if the Franchisee: fails to complete training; makes material misrepresentations; is convicted of a felony; makes unauthorized disclosures of confidential info; abandons the restaurant; makes unauthorized transfers; understates fees; becomes insolvent; misuses Marks or software; repeatedly fails to submit reports or pay fees; violates health/safety laws; fails to open within 9 months; or defaults on the lease. Termination is also permitted after notice and cure periods for failure to pay fees (10 days cure) or failure to comply with other provisions (30 days cure). The Franchisee may terminate if the Franchisor materially breaches and fails to cure within a reasonable time (at least 30 days).,"The laws of the state in which the Franchised Restaurant is located, except to the extent governed by the United States Trademark Act of 1946 (Lanham Act).",We shall give you written notice of our election not to renew the franchise at least three (3) months prior to the expiration of the initial or first renewal term of this Agreement.
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,"Purolator Courier Ltd., Dynamex Express (also referred to as Dynamex Inc.), and Parcelway Courier Systems Canada Ltd.","Effective from the date first written in the agreement (with signature dated November 20, 1995)",This Agreement shall be effective from the date first above written and shall continue indefinitely until terminated by either Party in accordance with the provisions of this Agreement.,"In the event this Agreement is terminated pursuant to the provisions of paragraph 19.2, then the Party whose control has changed shall not enter into an agreement with any other Party to provide services similar to those provided herein or to provide its services similar to those provided for herein without an agreement, for a period of twelve (12) months from the effective date of termination.","Invoiced twice a month (on the 15th and the last day of the month), payable net 15 days from the date of invoicing. Interest at the Canadian Imperial Bank of Commerce prime rate is payable on amounts overdue for 30 days or more.","Terminable by the non-defaulting party upon an Event of Default (including bankruptcy, insolvency, ceasing business, or failure to cure a breach within 30 days of notice) upon 120 days written notice, or upon written notice for specific defaults. Also terminable immediately for failure to maintain a Dangerous Goods Training Certificate, or upon notice for bringing a party into public disrepute.",Province of Ontario,"In the event this Agreement is terminated pursuant to the provisions of paragraph 19.2, then the Party whose control has changed shall not enter into an agreement with any other Party to provide services similar to those provided herein or to provide its services similar to those provided for herein without an agreement, for a period of twelve (12) months from the effective date of termination."
