Filename,PO Number,Vendor Name,Contact & Address,Effective Date,Lapse / Expiry Date,Total Value,Conditions of Agreement,Conditions of Payment,Authorising Signatory,Line Items (JSON String),Status
3 PO-4800185061-26_feb-26 O&M 43L for one year.pdf,4800185061,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037, Phone: 9777580334",26.02.2026,One year after implementation of project (effective from 15th May#26),Four lakh eighty thousand four hundred fiftysix and ninety six paise only,Scope of Work: Queue Management Solution Backend Infra Support at T1 D2D at IGI Airport New Delhi. Warranty: 12 Months. DLP: retention @ 5% of total basic order value shall be applicable till DLP period. Liquidated Damages: 0.5%per week of delay subject to maximum of 5%,100% within 30 days from the date of submission of invoice (Quarterly basis).,Authorized Signatory,"[{""description"": ""Recurring Charges for AWS & KloudSpot Ye"", ""quantity"": 1}, {""description"": ""WAISL O&M L1 & L2 Skill Support for the"", ""quantity"": 1}]",Success
AGISS.pdf,5000021861,AISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan, Phone: 9777580334",16.01.2026,04 months from the date of award of PO/ Order confirmation.,"Rs. 11,02,27,767/- (excluding GST)",Scope of Work: Implementation of Airside Gate Integrated Surveillance System AGISS at IGI Airport New Delhi along with 03 years AMC support at IGI Airport New Delhi. Guarantee Period/Defect Liability Period: 03 years from the date of implementation. Liquidated Damages: 0.5% per week of delay subject to maximum of 5% of the total order value.,"Payment within 30 days from date of submission of invoice. 1. 30% shall be released after development of AGISS solutions. 2. 70% after completion of implementation at site. Performance Bank Guarantee: PBG of 10% of the total contract sum i.e. Rs. 1,10,22,776.70 which shall be valid for a period of 03 Months beyond the Defect Period.",Authorized Signatory,"[{""description"": ""AGISS MVP software"", ""quantity"": 1.0, ""unit_price"": 80227767.0}, {""description"": ""Support post implementations(for 3 years)"", ""quantity"": 1.0, ""unit_price"": 30000000.0}]",Success
DY Tailgating FY26.pdf,4800181485,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037. Phone: 9777580334",01.06.2025,31.05.2026,Two lakh twenty thousand seven hundred sixty nine and ninety six paise only,"Scope of Work: AWS & Kloudspot Subscription for the DigiYatra Tailgating Solution Across terminals at IGI Airport, New Delhi. Liquidated Damages: For any delay in deliveries as provided herein, Liquidated Damages @ 0.5% per week of delay subject to maximum up to 5% of the total order value shall be applicable. DLP: 10% of yearly Opex cost shall be retained from vendor 1st invoice till DLP period.","within 30 days from the date of submission of certified invoice. PBG clause 26 not applicable. Retention :In lieu of PBG, 10% of yearly Opex cost shall be retained from vendor 1st invoice till DLP period.",Authorized Signatory,"[{""description"": ""Recurring charges for June 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for July 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for August 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for September 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for October 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for November 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for December 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for January 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for February 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for March 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for April 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for May 2026"", ""quantity"": 1}]",Success
Line 150-260 PO-4800174259-324231 WAISL LIMITED.pdf,4800174259,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037 Phone: 9777580334",22.02.2024,31.03.2027,One crore one lakh seventy eight thousand four hundred only,Scope of Work: Yearly L1 & L2 support for LISA platform for Centralized Data Storage for APOC projects with LISA Platform at IGI Airport New Delhi. DLP: 12 Months. Liquidated Damages: 0.5% per day of delay not exceeding 5% of total order value.,"Monthly basis, within 30 days from the date of receipt of invoice. Total Yearly L1 & L2 support for LISA platform cost Rs 88,80,000 /- (GST extra), One time set up and development cost. PO Clause 26: PBG nt applicable",Authorized Signatory,"[{""description"": ""Support LISA platform April 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform May 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform June 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform July 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform August 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform September 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform October 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform November 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform December 2026"", ""quantity"": 1}, {""description"": ""Support LISA platform January 2027"", ""quantity"": 1}, {""description"": ""Support LISA platform February 2027"", ""quantity"": 1}, {""description"": ""Support LISA platform March 2027"", ""quantity"": 1}]",Success
PO#4800178856.pdf,4800178856-4,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037 Phone: 9777580334",21.12.2024,March 2027,One crore thirty four lakh fifty six thousand only,Scope of Work: PO amendment as on 04.06.2026: Line 30-140 added for 4rd year for Biometric Software Solutions and Integrated Hardware Equipment at IGI Airport New Delhi. PO amendment as on 21.05.2025: Line 20 added for 3rd year for Biometric Software Solutions and Integrated Hardware Equipment at IGI Airport New Delhi. Biometric Software Solutions and Integrated Hardware Equipment at IGI Airport New Delhi. all terms as per LPO-5000014784. Guarantee Period/Defect Liability Period: not_found. Liquidated Damages: not_found.,"Equal instalments on a monthly basis, within 30 days post submission of invoice (as per commissioned touch point) in line with applicable SLAs & resource deployment duly certified by DIAL. PBG terms revised as on 25.08.2025: Retention of 10 % in Place of PBG and which valid for the period of the contract.",Authorized Signatory,"[{""description"": ""O&M Support - Y2"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y3"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for April26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for May26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for June26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for July26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Aug26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Sept26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Oct26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Nov26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Dec26"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Jan27"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Feb27"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""O&M Support - Y4 for Mar27"", ""quantity"": 1, ""unit_price"": 0}]",Success
PO-4800181485.pdf,4800181485,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037 Phone: 9777580334",09.06.2025,31.05.2026,Four lakh twenty thousand seven hundred sixty nine and ninety six paise only,"Scope of Work: AWS & Kloudspot Subscription for the DigiYatra Tailgating Solution Across terminals at IGI Airport, New Delhi. Liquidated Damages: For any delay in deliveries as provided herein, Liquidated Damages @ 0.5% per week of delay subject to maximum up to 5% of the total order value shall be applicable. DLP/Warranty: In lieu of PBG, 10% of yearly Opex cost shall be retained from vendor 1st invoice till DLP period.","within 30 days from the date of submission of certified invoice. PBG clause 26 not applicable. Retention :In lieu of PBG, 10% of yearly Opex cost shall be retained from vendor 1st invoice till DLP period.",Authorized Signatory,"[{""description"": ""Recurring charges for June 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for July 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for August 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for September 2025"", ""quantity"": 1, ""unit_price"": 170958.33}, {""description"": ""Recurring charges for October 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for November 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for December 2025"", ""quantity"": 1}, {""description"": ""Recurring charges for January 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for February 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for March 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for April 2026"", ""quantity"": 1}, {""description"": ""Recurring charges for May 2026"", ""quantity"": 1}]",Success
PO-4800182831-WAISL LIMITED-Web based Project Reporting.pdf,4800182831,not_found,not_found,26.08.2025,31st March 2026,One lakh fifty thousand two hundred one and eighteen paise only,Scope of work: Web based Project Reporting Tool Application support and Maintenance as per SLA for DIAL from july'25 to till march'26. Warranty / Defects Rectification Period: NA (or 18 months from shipment / 12 months from use). Liquidated Damages (LD): NA (or 0.5% per week of delay up to 5% of Order Sum).,Payment shall be released within 30 days against submission of Tax Invoice as per actual billing on monthly basis.,"Authorized Signatory, Delhi International Airport Ltd.","[{""description"": ""Web based tool jul'25"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Aug'25"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Sept'25"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Oct'25"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Nov'25"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Dec'25"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Jan'26"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Feb'26"", ""quantity"": 1, ""unit_price"": 0.0}, {""description"": ""Web based tool Mar'26"", ""quantity"": 1, ""unit_price"": 0.0}]",Success
PO-4800185279-324231 DMRC.pdf,4800185279,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037 Phone: 9777580334",16.03.2026,not_found,Five eight lakh seventy thousand five hundred ninety four and forty two paise only,"Scope of Work: Implementation of Digital Screens and Integration of Metro Train Information Data into FIDS at T2 & T3, IGI Airport Delhi. Warranty: 12 months. Liquidated Damages: 0.5% per week of delay subject to maximum 5% of total order value.","For one time implementation package : - within 30 days after receipt of invoice with proposed milestone basis -50% Invoices will be raised on project kickoff or mobilization -30% Invoice will be raised on Material Delivery -20% Invoice will be raised on Completion of Implementation For O&M support : - within 30 days after receipt of Invoice on Quarterly basis In lieu of PBG retension @ 5% of total order value shall be applicable till DLP period. PBG Value-Rs.2,48,54/-",Authorized Signatory,"[{""description"": ""Software Integration of Metro Train Info"", ""quantity"": 1}, {""description"": ""One Time Prices for SITC of Indoor Scree"", ""quantity"": 1}, {""description"": ""WAISL VM, Storage, Network Port and VLAN"", ""quantity"": 1}, {""description"": ""Program Management and Consulting"", ""quantity"": 1}, {""description"": ""O&M Skill support (Q1)"", ""quantity"": 1}, {""description"": ""O&M Skill support (Q2)"", ""quantity"": 1}, {""description"": ""O&M Skill support (Q3)"", ""quantity"": 1}, {""description"": ""O&M Skill support (Q4)"", ""quantity"": 1}, {""description"": ""Storage, Network Port & VLAN Support Q1"", ""quantity"": 1}, {""description"": ""Storage, Network Port & VLAN Support Q2"", ""quantity"": 1}, {""description"": ""Storage, Network Port & VLAN Support Q3"", ""quantity"": 1}, {""description"": ""Storage, Network Port & VLAN Support Q4"", ""quantity"": 1}]",Success
PO-5000022045 GSE Roster.pdf,5000022045-1,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037 Phone: 9777580334",07.02.2026,Within 14 weeks from the date of award of PO.,Six lakh twenty four thousand six hundred fifty three and fifty paise only,Scope of Work: Integration of GSE Roster Management System for UTAM Project at IGI Airport Delhi. Warranty: 15-day Defect Liability Period (DLP) shall be provided post go-live. Liquidated Damages: 0.5% per week of delay subject to maximum 5% of total order value.,100% within 30 days from the date of submission of invoice,Authorized Signatory,"[{""description"": ""Solution prices Integration of GSE Roste"", ""quantity"": 1}, {""description"": ""management and consulting WAISL program"", ""quantity"": 1}]",Success
PO-5000022081 12-02-26 1cr.pdf,5000022081,WAISL LIMITED,"First Floor, Wing D,301,adjacent to New Udaan Bhawan opposite to Terminal 3, DELHI-110037 Phone: 9777580334",12.02.2026,not_found,XXXXXXXX (One crore two lakh fifty one thousand eight and seventy six paise only),"Scope of Work: Camera-Based Queue Management System Deployment, at T1 D2D Area, IGI Airport Delhi. Warranty: Camera warranty 5 years, Server warranty 5 years, rest items as per OEM standards. 12 months DLP from the date of handover. Liquidated Damages: Standard @ 0.5 % for per week of delay; however, at most 5 % of the overall contract/order value.",Payment shall be released within 30 days upon receipt of invoice verified by DIAL. Retension @ 5% of total basic order value shall be applicable till DLP period Clause number 26 not applicable.,Authorized Signatory,"[{""description"": ""One-Time Prices for KloudSpot Solution-"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""One-Time SITC Prices for Vision Controll"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""One-Time SITC Prices for CCTV Camera and"", ""quantity"": 1, ""unit_price"": 0}, {""description"": ""One-Time Prices for WAISL Program Manage"", ""quantity"": 1, ""unit_price"": 0}]",Success
